epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9676,0.41468,5.93114,2.84299,0.98361,0.3134,0.83333,0.45527,0.42023,0.21896,0.43452,0.23887,0.0891,0.32417,1.76218,10.3089,0.89818,0.00012,0.00012,0.00012
2,15.574,0.46599,1.73108,1.7551,0.9346,0.25894,0.95357,0.60758,0.53371,0.25791,0.94881,0.59735,0.39957,0.46606,1.92687,14.824,0.89683,0.00024505,0.00024505,0.00024505
3,21.601,0.50959,1.48504,1.75892,0.95642,0.4356,0.64583,0.59552,0.52132,0.42849,0.63155,0.57639,0.39161,0.50522,1.37916,7.79093,1.03225,0.000364952,0.000364952,0.000364952
4,26.9262,0.62066,1.34653,1.44278,0.99701,0.35472,0.81944,0.49292,0.36504,0.32972,0.79087,0.44892,0.24599,0.71963,3.2385,41.998,1.32685,0.000479706,0.000479706,0.000479706
5,32.1567,0.65655,1.22551,1.4535,1.0093,0.17086,0.49189,0.29994,0.1695,0.12249,0.37958,0.20648,0.09352,1.12617,1.98857,12.3777,1.50103,0.000589312,0.000589312,0.000589312
6,37.6162,0.71221,1.2747,1.36399,1.0592,0.5332,0.73571,0.67071,0.38312,0.509,0.68155,0.61635,0.27894,1.12133,1.79416,10.3924,1.96754,0.00069377,0.00069377,0.00069377
7,42.9171,0.80762,1.28573,1.35683,1.13565,0.21442,0.92024,0.46257,0.24361,0.13323,0.72321,0.29559,0.12471,1.01936,1.74986,45.8757,1.75657,0.00079308,0.00079308,0.00079308
8,48.1496,0.7712,1.22903,1.20209,1.1219,0.34682,0.88815,0.59874,0.5108,0.33986,0.86434,0.57217,0.28101,0.80311,2.2493,13.1749,1.39599,0.0008614,0.0008614,0.0008614
9,53.4309,0.71704,1.28348,1.13109,1.07089,0.25202,0.60833,0.51202,0.44015,0.21371,0.55714,0.47189,0.25345,0.77249,1.5075,14.9248,1.30808,0.0008416,0.0008416,0.0008416
10,58.6939,0.67651,1.16922,1.16369,1.04111,0.39004,0.90238,0.68788,0.44123,0.34425,0.76786,0.47658,0.19607,0.67418,1.55902,5.8349,1.20724,0.0008218,0.0008218,0.0008218
11,63.962,0.62995,1.10314,1.17283,1.0603,0.29357,0.72917,0.63036,0.52304,0.45881,0.55,0.61466,0.32559,0.80387,1.50446,3.99628,1.4371,0.000802,0.000802,0.000802
12,69.2909,0.62941,1.05474,1.16598,1.01892,0.56574,0.91702,0.84603,0.73641,0.55267,0.90225,0.82624,0.54941,0.60908,1.38149,3.96917,1.13892,0.0007822,0.0007822,0.0007822
13,75.0535,0.59607,1.03396,0.93566,0.99295,0.70876,0.8794,0.97536,0.88426,0.65995,0.83095,0.90809,0.55167,0.57113,2.14841,3.12352,1.10866,0.0007624,0.0007624,0.0007624
14,80.9857,0.60197,1.04547,0.9074,0.98951,0.69957,0.88533,0.97502,0.8826,0.70466,0.86384,0.96435,0.6723,0.62856,1.53492,2.70867,1.11581,0.0007426,0.0007426,0.0007426
15,87.147,0.54699,1.07373,0.84912,0.96671,0.64046,0.81943,0.78465,0.69696,0.6318,0.81466,0.76731,0.45765,0.58971,1.6918,8.08732,1.06683,0.0007228,0.0007228,0.0007228
16,92.4215,0.54232,1.04842,0.75018,0.97782,0.20152,0.62605,0.40166,0.38278,0.19581,0.61176,0.39256,0.28048,0.67123,1.59906,71.8538,1.24272,0.000703,0.000703,0.000703
17,97.6276,0.52464,0.96872,0.69176,0.95987,0.93756,0.90816,0.99363,0.92582,0.90918,0.90661,0.97282,0.70442,0.4766,0.88513,0.60339,0.97948,0.0006832,0.0006832,0.0006832
18,103.457,0.54378,1.00603,0.72754,0.98948,0.91426,0.96831,0.99477,0.94078,0.90427,0.95992,0.98271,0.72244,0.45775,0.84978,0.68105,0.96656,0.0006634,0.0006634,0.0006634
19,109.419,0.5046,0.91414,0.66414,0.94101,0.95807,0.99113,0.99225,0.92949,0.94939,0.97372,0.97777,0.73753,0.48212,1.0179,0.63706,0.9588,0.0006436,0.0006436,0.0006436
20,115.342,0.50168,0.93593,0.6839,0.95992,0.95276,0.98997,0.99205,0.94065,0.95466,0.96667,0.97885,0.75317,0.47641,0.99703,0.54252,0.95836,0.0006238,0.0006238,0.0006238
21,121.223,0.47875,0.91211,0.63986,0.93863,0.94756,0.97712,0.99271,0.93638,0.93433,0.96323,0.97909,0.71574,0.45333,0.96154,0.52318,0.96188,0.000604,0.000604,0.000604
22,126.698,0.49327,0.8569,0.61575,0.98463,0.9465,0.97789,0.98845,0.95514,0.94135,0.97328,0.98243,0.76567,0.4137,0.84419,0.53222,0.91306,0.0005842,0.0005842,0.0005842
23,132.549,0.49306,0.80199,0.60977,0.9449,0.92142,0.99048,0.98942,0.94994,0.90776,0.96254,0.96228,0.72399,0.41592,0.83544,0.47678,0.93744,0.0005644,0.0005644,0.0005644
24,137.723,0.45064,0.81249,0.56253,0.92739,0.91,0.98997,0.99451,0.95373,0.89681,0.97341,0.97627,0.73596,0.43852,0.81026,0.50081,0.92835,0.0005446,0.0005446,0.0005446
25,143.003,0.44953,0.92929,0.58041,0.92518,0.85287,0.93206,0.995,0.96478,0.84058,0.91845,0.97405,0.77302,0.46692,0.76886,0.54054,0.93399,0.0005248,0.0005248,0.0005248
26,148.928,0.45154,0.94399,0.54148,0.9369,0.90344,0.90691,0.99463,0.95936,0.88994,0.89262,0.98089,0.69471,0.45738,0.90097,0.53555,0.94465,0.000505,0.000505,0.000505
