epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.707,0.76943,1.77013,3.13962,1.24238,0.48161,0.22432,0.18595,0.15426,0.48435,0.22515,0.18683,0.14713,0.67041,1.4929,2.11369,1.17725,0.00332803,0.00332803,0.00332803
2,733.551,0.70788,1.47595,2.14351,1.16912,0.43315,0.23957,0.21759,0.17805,0.43781,0.23663,0.21887,0.1674,0.72049,1.57907,2.0704,1.18667,0.00659541,0.00659541,0.00659541
3,1092.57,0.75324,1.53074,2.05731,1.19387,0.43543,0.2381,0.2103,0.16613,0.43408,0.24907,0.21222,0.15586,0.79721,1.75072,2.10797,1.28133,0.0097968,0.0097968,0.0097968
4,1450.31,0.79588,1.62647,2.0551,1.22603,0.41252,0.2881,0.23518,0.18385,0.42766,0.27087,0.23339,0.17311,0.80085,1.69151,2.02797,1.26264,0.009703,0.009703,0.009703
5,1808.61,0.77105,1.54186,1.8979,1.20439,0.3939,0.27497,0.24346,0.19586,0.39186,0.27615,0.24069,0.18284,0.76489,1.67965,1.99049,1.23593,0.009604,0.009604,0.009604
6,2166.87,0.74998,1.49201,1.79134,1.19237,0.42832,0.27786,0.2564,0.20879,0.42725,0.28224,0.25712,0.19426,0.73744,1.64303,1.91084,1.2086,0.009505,0.009505,0.009505
7,2524.5,0.72654,1.43569,1.67069,1.17387,0.39392,0.30428,0.2694,0.21502,0.40133,0.29931,0.26493,0.20152,0.74422,1.62049,1.89997,1.22016,0.009406,0.009406,0.009406
8,2882.42,0.70362,1.37383,1.57875,1.1569,0.41063,0.30828,0.27696,0.22372,0.41603,0.30747,0.27821,0.20894,0.73098,1.55322,1.86951,1.21048,0.009307,0.009307,0.009307
9,3240.02,0.68905,1.33621,1.50609,1.14152,0.40353,0.31059,0.28648,0.23245,0.39902,0.30741,0.28417,0.21799,0.70719,1.49834,1.7923,1.18952,0.009208,0.009208,0.009208
10,3597.86,0.67555,1.29325,1.43659,1.13002,0.41071,0.31038,0.2849,0.23241,0.42328,0.30299,0.28316,0.21845,0.70556,1.52394,1.80479,1.18518,0.009109,0.009109,0.009109
11,3955.53,0.66651,1.28253,1.38954,1.12498,0.39841,0.31173,0.29805,0.24455,0.39549,0.30995,0.29619,0.23029,0.69557,1.49029,1.78091,1.18259,0.00901,0.00901,0.00901
12,4313.22,0.65356,1.24435,1.33269,1.11538,0.40632,0.31716,0.30661,0.25223,0.40709,0.31882,0.30595,0.23631,0.68851,1.49368,1.7125,1.17822,0.008911,0.008911,0.008911
13,4670.86,0.64616,1.22735,1.29482,1.10905,0.38208,0.34584,0.30435,0.25135,0.40436,0.33373,0.30566,0.23469,0.69723,1.49895,1.75875,1.18694,0.008812,0.008812,0.008812
14,5028,0.63711,1.20856,1.2615,1.10229,0.40321,0.3091,0.31116,0.25522,0.40111,0.30697,0.30889,0.23933,0.69821,1.48857,1.72775,1.18942,0.008713,0.008713,0.008713
15,5385.38,0.62512,1.18312,1.21632,1.09344,0.43218,0.3207,0.31369,0.25921,0.42771,0.32368,0.31195,0.24526,0.68968,1.45813,1.70659,1.18352,0.008614,0.008614,0.008614
16,5742.43,0.62132,1.17138,1.17644,1.09031,0.42113,0.33688,0.32114,0.26445,0.41882,0.33261,0.31823,0.24891,0.67985,1.47185,1.68668,1.16202,0.008515,0.008515,0.008515
17,6099.32,0.6157,1.14905,1.15016,1.08394,0.4497,0.32799,0.32764,0.27065,0.45275,0.32886,0.32654,0.25503,0.67887,1.4856,1.66666,1.17246,0.008416,0.008416,0.008416
18,6456.7,0.60903,1.13891,1.1296,1.07748,0.44669,0.32966,0.32241,0.26902,0.44781,0.33127,0.32316,0.25151,0.67858,1.44753,1.67268,1.1749,0.008317,0.008317,0.008317
19,6813.91,0.59846,1.12556,1.11124,1.07223,0.4424,0.33617,0.3255,0.26817,0.44032,0.33473,0.32328,0.25191,0.68431,1.4597,1.70479,1.18507,0.008218,0.008218,0.008218
20,7171.48,0.59217,1.1051,1.07173,1.06544,0.47769,0.33595,0.33978,0.2825,0.47438,0.33522,0.33682,0.26506,0.67742,1.45092,1.65032,1.17737,0.008119,0.008119,0.008119
21,7528.82,0.58929,1.10296,1.06121,1.06597,0.41917,0.3475,0.33154,0.27609,0.4152,0.34254,0.32674,0.25938,0.67609,1.46276,1.65974,1.17081,0.00802,0.00802,0.00802
22,7885.81,0.57934,1.07833,1.02122,1.05619,0.44803,0.36362,0.34178,0.28444,0.44635,0.36173,0.34101,0.26668,0.67395,1.45247,1.63705,1.1727,0.007921,0.007921,0.007921
23,8243.46,0.57982,1.06791,1.01079,1.05759,0.43927,0.35098,0.3375,0.27968,0.44486,0.34133,0.33458,0.26118,0.66165,1.41698,1.6193,1.15473,0.007822,0.007822,0.007822
24,8600.45,0.57439,1.06119,0.99527,1.05157,0.49196,0.34011,0.34799,0.28769,0.48609,0.33801,0.34262,0.2704,0.66784,1.45014,1.64427,1.16722,0.007723,0.007723,0.007723
25,8957.91,0.56922,1.05455,0.97177,1.04606,0.46076,0.35337,0.34138,0.28308,0.46353,0.35292,0.34,0.26668,0.66154,1.442,1.62252,1.1651,0.007624,0.007624,0.007624
26,9314.89,0.56538,1.04249,0.96749,1.04689,0.46775,0.34085,0.33719,0.28221,0.46907,0.34105,0.33667,0.26649,0.67352,1.4381,1.64157,1.16927,0.007525,0.007525,0.007525
